contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expiry,fetch_date
AAPL250808C00160000,160.0,42.3,0.0,0.0,1.0,0,2025-08-08,2025-06-30
AAPL250808C00165000,165.0,39.15,0.0,0.0,7.0,0,2025-08-08,2025-06-30
AAPL250808C00180000,180.0,24.1,0.0,0.0,1.0,0,2025-08-08,2025-06-30
