contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expiry,fetch_date
AAPL250718C00140000,140.0,61.65,0.0,0.0,1.0,0,2025-07-18,2025-06-30
AAPL250718C00145000,145.0,57.13,0.0,0.0,1.0,0,2025-07-18,2025-06-30
AAPL250718C00150000,150.0,51.75,0.0,0.0,39.0,0,2025-07-18,2025-06-30
AAPL250718C00155000,155.0,47.22,0.0,0.0,2.0,0,2025-07-18,2025-06-30
AAPL250718C00160000,160.0,41.7,0.0,0.0,8.0,0,2025-07-18,2025-06-30
AAPL250718C00165000,165.0,37.2,0.0,0.0,5.0,0,2025-07-18,2025-06-30
AAPL250718C00170000,170.0,31.7,0.0,0.0,8.0,0,2025-07-18,2025-06-30
AAPL250718C00175000,175.0,27.6,0.0,0.0,203.0,0,2025-07-18,2025-06-30
AAPL250718C00180000,180.0,22.05,0.0,0.0,39.0,0,2025-07-18,2025-06-30
