contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expiry,fetch_date
AAPL250815C00140000,140.0,64.0,0.0,0.0,1.0,0,2025-08-15,2025-06-30
AAPL250815C00145000,145.0,57.98,0.0,0.0,1.0,0,2025-08-15,2025-06-30
AAPL250815C00150000,150.0,52.95,0.0,0.0,7.0,0,2025-08-15,2025-06-30
AAPL250815C00155000,155.0,47.97,0.0,0.0,2.0,0,2025-08-15,2025-06-30
AAPL250815C00160000,160.0,43.52,0.0,0.0,46.0,0,2025-08-15,2025-06-30
AAPL250815C00165000,165.0,37.5,0.0,0.0,41.0,0,2025-08-15,2025-06-30
AAPL250815C00170000,170.0,32.95,0.0,0.0,25.0,0,2025-08-15,2025-06-30
AAPL250815C00175000,175.0,29.22,0.0,0.0,5.0,0,2025-08-15,2025-06-30
AAPL250815C00180000,180.0,24.38,0.0,0.0,66.0,0,2025-08-15,2025-06-30
