contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expiry,fetch_date
AAPL250725C00140000,140.0,62.69,0.0,0.0,2.0,0,2025-07-25,2025-06-30
AAPL250725C00145000,145.0,58.59,0.0,0.0,1.0,0,2025-07-25,2025-06-30
AAPL250725C00150000,150.0,49.32,0.0,0.0,46.0,0,2025-07-25,2025-06-30
AAPL250725C00155000,155.0,49.33,0.0,0.0,1.0,0,2025-07-25,2025-06-30
AAPL250725C00160000,160.0,43.29,0.0,0.0,2.0,0,2025-07-25,2025-06-30
AAPL250725C00165000,165.0,35.79,0.0,0.0,3.0,0,2025-07-25,2025-06-30
AAPL250725C00170000,170.0,33.16,0.0,0.0,1.0,0,2025-07-25,2025-06-30
AAPL250725C00175000,175.0,27.35,0.0,0.0,94.0,0,2025-07-25,2025-06-30
AAPL250725C00180000,180.0,22.55,0.0,0.0,7.0,0,2025-07-25,2025-06-30
