contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,expiry,fetch_date
AAPL250711C00140000,140.0,56.53,0.0,0.0,1.0,0,2025-07-11,2025-06-30
AAPL250711C00150000,150.0,52.65,0.0,0.0,1.0,0,2025-07-11,2025-06-30
AAPL250711C00155000,155.0,47.1,0.0,0.0,1.0,0,2025-07-11,2025-06-30
AAPL250711C00160000,160.0,42.6,0.0,0.0,3.0,0,2025-07-11,2025-06-30
AAPL250711C00165000,165.0,36.87,0.0,0.0,10.0,0,2025-07-11,2025-06-30
AAPL250711C00170000,170.0,33.19,0.0,0.0,1.0,0,2025-07-11,2025-06-30
AAPL250711C00175000,175.0,27.6,0.0,0.0,1.0,0,2025-07-11,2025-06-30
AAPL250711C00177500,177.5,23.92,0.0,0.0,8.0,0,2025-07-11,2025-06-30
AAPL250711C00180000,180.0,21.42,0.0,0.0,4.0,0,2025-07-11,2025-06-30
